NOM PDV,ADRESSE PDV,LOCALISATION
BAR CHEZ ANGÈLE,Guinaw,"17°23'17.36""W  14°44'59.70""N"
BAR PASTEF,prèt de l’école Apix,"17°23'25.92""W  14°44'55.97""N"
ALIMENTATION ISMAILA DIENG,complexe culturel de pikine,"17°23'52.60""W  14°44'54.57""N"
Bar Chez André pikine,icotaf,"17°23'40.28""W  14°45'0.04""N"
Bar le Rosaire,icotaf prèt du bar chez andré,"17°23'39.29""W  14°45'0.55""N"
Bar toulounais,Taly boumague,"17°23'51.28""W  14°45'18.07""N"
Bar chez Willy,côté cimetière yoff,"17°27'13.54""W  14°45'21.53""N"
Bar Pouno,côté rompoint 26,"17°27'11.90""W  14°45'9.88""N"
Alimentation Chez Montéro,côté case des toutes petites,"17°28'8.37""W  14°45'10.46""N"
Alimentation Chez Alex,oust foire,"17°28'25.31""W  14°45'16.82""N"
Alimentation Chez Albert,Nord foire,"17°28'23.02""W  14°45'10.79""N"
Alimentation Chez doudou,ancien mairie grand yoff côté école H.L.M patte doie,"17°26'36.59""W  14°44'25.38""N"
Alimentation  Chez Jean,zone de captage côté terrain de football,"17°26'31.02""W  14°43'45.95""N"
Alimentation  Chez Nestor,derrière Bar frontière,"17°26'38.23""W  14°44'20.02""N"
Alimentation Aleluia chez Henry,côté Bar Essentiel,"17°26'44.12""W  14°44'26.76""N"
Bar La Gorénne,derrière mairie patte doie côté Bar la congolaise,"17°26'35.32""W  14°44'51.84""N"
Bar La congolaise,derrière mairie patte doie côté Bar la gorénne,"17°26'35.60""W  14°44'51.73""N"
Alimentation Chez Magui,derrière Naby chouker côté boulangerie,"17°26'37.49""W  14°44'41.50""N"
Bar chez Fara,Khar yalla,"17°27'17.66""W  14°43'55.28""N"
Bar kheur Fara,khar yalla,"17°27'7.15""W  14°43'45.85""N"
Bar Front de Terre,derrière gendarmerie front de terre,"17°26'49.36""W  14°43'52.70""N"
Bar PATAKA,derrière Kamgui,"17°26'42.54""W  14°44'25.82""N"
Bar kamgui,côté L essentielle,"17°26'42.46""W  14°44'28.11""N"
Bar L Essentiel,côté kamgui,"17°26'43.69""W  14°44'28.14""N"
Bar petit Paris,en face pont Sénégal 92,"17°26'56.92""W  14°44'34.17""N"
Alimentation Chez Christine,en face pont Sénégal 92,"17°26'58.81""W  14°44'33.12""N"
Bar Kambouum,en face alimentation Zidane,"17°26'52.72""W  14°44'27.12""N"
Alimentation Zidane,en face Bar Kamboumbrana,"17°26'52.80""W  14°44'27.87""N"
chez ta margot,golf nord,"17°27'20.78""W  14°45'2.98""N"
alimentation chez Tapha,coté BRT,"17°24'11.92""W  14°46'26.32""N"
bar képare,camberéne,"17°27'1.94""W  14°45'36.59""N"
totale case ba,parcelle case ba,"17°25'36.95""W  14°44'29.56""N"
lambaye 7,unité 7,"17°25'44.60""W  14°45'39.16""N"
madame faye,croisement 22,"17°26'2.31""W  14°45'11.49""N"
dépot mendy,parcelle 21,"17°26'43.39""W  14°45'7.15""N"
chez pathie,parcelle unité 25 en face stade,"17°27'1.80""W  14°45'2.02""N"
chez pierre,parcelle,"17°27'13.82""W  14°45'14.52""N"
chez charle,nord foire,"17°26'8.97""W  14°45'3.37""N"
